max most,maximum,maximal,ultimate,totally,hugest,longest,largest,biggest,fattest,fastest,greatest,quickest,tallest,oldest,eldest,heaviest,farthest,furthest,richest,best
min least,minimum,minimal,youngest,closest,shortest,thinnest,tiniest,hollowest,narrowest,shallowest,simplest,latest,last,poorest,littlest
1 first,1st,most,maximum,maximal
2 second,2nd
3 third,3rd
4 fourth,4th
5 fifth,5th
6 sixth,6th
7 seventh,7th
8 eighth,8th
9 ninth,9th
10 tenth,10th
11 eleventh,11st
12 twelfth,12nd
13 thirteenth,13rd
14 fourteenth,14th
15 fifteenth,15th
16 sixteenth,16th
17 seventeenth,17th
18 eighteenth,18th
19 nineteenth,19th
20 twentieth,20th
21 twenty-first,21st
22 twenty-second,22nd
23 twenty-third,23rd
24 twenty-fourth,24th
25 twenty-fifth,25th
26 twenty-sixth,26th
27 twenty-seventh,27th
28 twenty-eighth,28th
29 twenty-ninth,29th
30 thirtieth,30th
31 thirty-first,31st
32 thirty-second,32nd
33 thirty-third,33rd
34 thirty-fourth,34th
35 thirty-fifth,35th
36 thirty-sixth,36th
37 thirty-seventh,37th
38 thirty-eighth,38th
39 thirty-ninth,39th
40 fortieth,40th
41 forty-first,41st
42 forty-second,42nd
43 forty-third,43rd
44 forty-fourth,44th
45 forty-fifth,45th
46 forty-sixth,46th
47 forty-seventh,47th
48 forty-eighth,48th
49 forty-ninth,49th
50 fiftieth,50th
51 fifty-first,51st
52 fifty-second,52nd
53 fifty-third,53rd
54 fifty-fourth,54th
55 fifty-fifth,55th
56 fifty-sixt,56th
57 fifty-seventh,57th
58 fifty-eighth,58th
59 fifty-ninth,59th
60 sixtieth,60th
61 sixty-first,61st
62 sixty-second,62nd
63 sixty-third,63rd
64 sixty-fourth,64th
65 sixty-fifth,65th
66 sixty-sixth,66th
67 sixty-seventh,67th
68 sixty-eighth,68th
69 sixty-ninth,69th
70 seventieth,70th
71 seventy-first,71st
72 seventy-second,72nd
73 seventy-third,73rd
74 seventy-fourth,74th
75 seventy-fifth,75th
76 seventy-sixth,76th
77 seventy-seventh,77th
78 seventy-eighth,78th
79 seventy-ninth,79th
80 eightieth,80th
81 eighty-first,81st
82 eighty-second,82nd
83 eighty-third,83rd
84 eighty-fourth,84th
85 eighty-fifth,85th
86 eighty-sixth,86th
87 eighty-seventh,87th
88 eighty-eighth,88th
89 eighty-ninth,89th
90 ninetieth,90th
91 ninety-first,91st
92 ninety-second,92nd
93 ninety-third,93rd
94 ninety-fourth,94th
95 ninety-fifth,95th
96 ninety-sixth,96th
97 ninety-seventh,97th
98 ninety-eighth,98th
99 ninety-ninth,99th
